Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Time,TS Time
"SS_Current_Trim","SS_CURRENT_CODE29",220330,"Parametric","",-20,20,"uA",-10.122,-9.835,-9.95517,0.124371,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE30",220340,"Parametric","",-20,20,"uA",-10.251,-9.962,-10.0822,0.125033,2.45094,***
"SS_Current_Trim","SS_CURRENT_CODE31",220350,"Parametric","",-20,20,"uA",-10.393,-10.102,-10.2208,0.125821,2.45094,***
"SS_Current_Trim","SS_CURRENT_TRIM_CODE",220030,"Parametric","",0,31,"Code",28,30,29.1667,0.983192,2.45094,***
"SS_Current_Trim","SS_CURRENT_BEST_FIT_VALUE",220360,"Parametric","",-20,20,"uA",-10.008,-9.962,-9.98083,0.0185731,2.45094,***
"SS_Gain","CURRENT_SS_0P1V_CODE0",230020,"Parametric","",0,3500,"mA",205.791,215.271,210.819,3.31805,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE0",230180,"Parametric","",0,3500,"mA",430.515,446.597,439.294,5.88763,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE1",230030,"Parametric","",0,3500,"mA",238.835,249.338,244.393,3.70507,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE1",230190,"Parametric","",0,3500,"mA",493.048,511.407,503.022,6.72909,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE2",230040,"Parametric","",0,3500,"mA",271.177,282.957,277.501,4.27996,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE2",230200,"Parametric","",0,3500,"mA",555.72,576.459,566.769,7.60623,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE3",230050,"Parametric","",0,3500,"mA",304.641,317.245,311.337,4.51296,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE3",230210,"Parametric","",0,3500,"mA",618.612,640.9,630.953,8.36951,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE4",230060,"Parametric","",0,3500,"mA",336.805,350.941,344.136,5.12089,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE4",230220,"Parametric","",0,3500,"mA",680.546,705.458,693.815,9.17767,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE5",230070,"Parametric","",0,3500,"mA",370.043,385.626,378.211,5.69944,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE5",230230,"Parametric","",0,3500,"mA",745.054,771.501,758.909,10.0254,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE6",230080,"Parametric","",0,3500,"mA",403.351,420.04,412.22,6.11246,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE6",230240,"Parametric","",0,3500,"mA",808.776,836.716,823.763,10.5864,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE7",230090,"Parametric","",0,3500,"mA",437.153,454.526,446.464,6.41845,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE7",230250,"Parametric","",0,3500,"mA",873.51,903.435,889.31,11.3364,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE8",230100,"Parametric","",0,3500,"mA",469.532,488.08,479.601,6.84753,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE8",230260,"Parametric","",0,3500,"mA",936.34,966.137,952.445,11.4514,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE9",230110,"Parametric","",0,3500,"mA",503.9,523.3,514.304,7.22403,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE9",230270,"Parametric","",0,3500,"mA",1001.5,1034.11,1019.1,12.5296,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE10",230120,"Parametric","",0,3500,"mA",537.312,558.13,548.544,7.64734,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE10",230280,"Parametric","",0,3500,"mA",1065.9,1099.74,1084.47,13.0019,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE11",230130,"Parametric","",0,3500,"mA",571.271,592.572,583.078,8.07175,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE11",230290,"Parametric","",0,3500,"mA",1131.42,1166.54,1150.69,13.6541,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE12",230140,"Parametric","",0,3500,"mA",605.103,627.878,617.105,8.5733,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE12",230300,"Parametric","",0,3500,"mA",1195.04,1232.34,1215.09,14.5391,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE13",230150,"Parametric","",0,3500,"mA",638.676,662.876,651.779,9.05345,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE13",230310,"Parametric","",0,3500,"mA",1260.22,1300.01,1281.4,15.3907,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE14",230160,"Parametric","",0,3500,"mA",673.364,697.911,686.497,9.19862,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE14",230320,"Parametric","",0,3500,"mA",1325.52,1366.49,1347.37,15.8757,3.80331,***
"SS_Gain","CURRENT_SS_0P1V_CODE15",230170,"Parametric","",0,3500,"mA",707.131,733.376,721.493,9.94279,3.80331,***
"SS_Gain","CURRENT_SS_0P2V_CODE15",230330,"Parametric","",0,3500,"mA",1391.04,1433.78,1414.03,16.7113,3.80331,***
"SS_Gain","SS_GAIN_TRIM_CODE",230010,"Parametric","",0,15,"Code",9,9,9,0,3.80331,***
